username,cluster,total_stars,top_language
Germey,1,2283,Python
mbahomaid,1,362,JavaScript
joshwcomeau,3,14432,TypeScript
Huxpro,2,9213,HTML
Nutlope,1,61454,JavaScript
zcbenz,0,371,JavaScript
felipefialho,3,20126,Python
rsms,0,38993,C
lemire,0,5057,C
ryanb,0,25026,C
rougier,1,45206,C
historicalsource,0,5614,C
mxcl,0,21410,C
satya-nutella,2,472,Shell
dabit3,3,9630,Rust
emmabostian,2,24564,CSS
liuyubobobo,1,13096,Jupyter Notebook
emilk,0,34331,C
motanelson,0,42,C
giswqs,1,1682,Typst
sebastianbergmann,1,152734,PHP
graydon,0,1739,C
rrousselGit,3,19421,Dart
Shubhamsaboo,1,102998,HTML
itsKayWat,1,346,TeX
JCSIVO,1,272,Java
U7P4L-IN,2,1281,Shell
bagder,0,7095,C
amusi,1,67066,C
ip681,1,269,Jupyter Notebook
JohnSundell,3,36014,Objective-C
hehonghui,1,57360,HTML
Shehab-Hegab,1,174,Jupyter Notebook
rdpeng,0,3471,C
jtleek,2,11367,HTML
mjackson,2,7627,Vim script
appleboy,3,24987,Go
loveBabbar,2,4144,JavaScript
shengxinjing,2,33202,Shell
willianjusten,2,12881,Shell
singwhatiwanna,0,8962,Objective-C
learnwithsumit,2,2700,SCSS
arpitbbhayani,0,12287,C
afc163,2,1997,HTML
steveklabnik,2,4217,Rust
swyxio,1,20187,Svelte
mattdesl,0,21062,C
trinhminhtriet,0,842,Rust
LuNiZz,2,4864,Dockerfile
overtrue,3,29790,Rust
dalindev,1,1101,Jupyter Notebook
jph00,1,837,Vim script
omariosouto,2,771,Shell
jdah,0,12741,C
phith0n,0,11345,C
tangqiaoboy,1,7214,Objective-C
TommyZihao,1,13723,Jupyter Notebook
byt3bl33d3r,1,29175,C
mckaywrigley,1,49921,TypeScript
yuanming-hu,1,4620,CoffeeScript
Jinjiang,2,1953,Vue
apna-college,2,2938,Java
Nakshatra05,2,120,Rust
yetone,0,19457,C
jeffheaton,1,10334,C
nholuongut,0,18,Go
oldratlee,3,17915,Jupyter Notebook
SuperSimpleDev,2,4271,JavaScript
crnacura,2,905,JavaScript
dennisivy,2,6218,Python
jskeet,2,1065,HTML
skywind3000,0,63633,C
mxstbr,3,5284,SCSS
GrahamCampbell,1,6182,PHP
